OBJECTID,Name,Shape_Leng,Shape_Area,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,Longitude,Latitude,xcoord,ycoord
1,FORGE site,13118.353863700000147,5110154.251889999955893,0,0,0,0,0.00000000000000,134.94761037615510,-112.8795100000,38.5142700000,336116.84690,4264548.52265
1,FORGE site,13118.353863700000147,5110154.251889999955893,1,0,0,1,0.00017875898998,179.97179143353517,-112.8795100000,38.5140900000,336116.44915,4264528.68466
1,FORGE site,13118.353863700000147,5110154.251889999955893,2,0,0,2,0.00035751797995,179.97179143353517,-112.8795100000,38.5139100000,336116.05140,4264508.84666
1,FORGE site,13118.353863700000147,5110154.251889999955893,3,0,0,3,0.00053627696993,179.97179143353517,-112.8795100000,38.5137300000,336115.65365,4264489.00866
1,FORGE site,13118.353863700000147,5110154.251889999955893,4,0,0,4,0.00071503595990,179.97179143353517,-112.8795100000,38.5135600000,336115.25591,4264469.17067
1,FORGE site,13118.353863700000147,5110154.251889999955893,5,0,0,5,0.00089379494988,179.97179143353517,-112.8795100000,38.5133800000,336114.85816,4264449.33267
1,FORGE site,13118.353863700000147,5110154.251889999955893,6,0,0,6,0.00107255393985,179.97179143353517,-112.8795100000,38.5132000000,336114.46042,4264429.49468
1,FORGE site,13118.353863700000147,5110154.251889999955893,7,0,0,7,0.00125131292983,179.97179143353517,-112.8795100000,38.5130200000,336114.06268,4264409.65668
1,FORGE site,13118.353863700000147,5110154.251889999955893,8,0,0,8,0.00143007191980,179.97179143353517,-112.8795100000,38.5128400000,336113.66494,4264389.81869
1,FORGE site,13118.353863700000147,5110154.251889999955893,9,0,0,9,0.00160883090978,179.97179143353517,-112.8795100000,38.5126600000,336113.26720,4264369.98070
1,FORGE site,13118.353863700000147,5110154.251889999955893,10,0,0,10,0.00178758989975,179.97179143353517,-112.8795100000,38.5124800000,336112.86947,4264350.14271
1,FORGE site,13118.353863700000147,5110154.251889999955893,11,0,0,11,0.00196634888973,179.97179143353517,-112.8795100000,38.5123000000,336112.47173,4264330.30472
1,FORGE site,13118.353863700000147,5110154.251889999955893,12,0,0,12,0.00214510787970,179.97179143353517,-112.8795100000,38.5121300000,336112.07400,4264310.46672
1,FORGE site,13118.353863700000147,5110154.251889999955893,13,0,0,13,0.00232386686968,179.97179143581261,-112.8795100000,38.5119500000,336111.67627,4264290.62873
1,FORGE site,13118.353863700000147,5110154.251889999955893,14,0,0,14,0.00250262585965,179.97179143581261,-112.8795100000,38.5117700000,336111.27854,4264270.79074
1,FORGE site,13118.353863700000147,5110154.251889999955893,15,0,0,15,0.00268138484963,179.97179143353517,-112.8795100000,38.5115900000,336110.88081,4264250.95275
1,FORGE site,13118.353863700000147,5110154.251889999955893,16,0,0,16,0.00286014383960,179.97179143353517,-112.8795100000,38.5114100000,336110.48308,4264231.11477
